iter	Passed	Remaining
0	162	162127
1	163	81618
2	164	54726
3	165	41277
4	167	33304
5	169	28000
6	170	24226
7	172	21330
8	173	19103
9	174	17309
10	176	15843
11	177	14607
12	178	13551
13	179	12648
14	181	11903
15	183	11262
16	184	10673
17	185	10143
18	187	9660
19	188	9218
20	189	8835
21	190	8483
22	192	8163
23	193	7869
24	195	7620
25	196	7368
26	198	7136
27	199	6919
28	200	6726
29	202	6537
30	203	6358
31	204	6199
32	206	6042
33	207	5895
34	209	5780
35	211	5659
36	212	5534
37	213	5416
38	215	5304
39	216	5196
40	217	5093
41	219	4996
42	220	4902
43	221	4813
44	222	4725
45	224	4654
46	225	4579
47	227	4509
48	228	4440
49	230	4370
50	231	4301
51	232	4237
52	233	4175
53	234	4116
54	236	4057
55	237	4001
56	239	3964
57	241	3923
58	243	3883
59	244	3836
60	246	3792
61	247	3750
62	249	3707
63	250	3668
64	253	3639
65	254	3605
66	256	3568
67	257	3533
68	258	3494
69	260	3455
70	261	3417
71	262	3386
72	264	3354
73	265	3326
74	268	3306
75	269	3282
76	272	3263
77	274	3239
78	275	3211
79	276	3183
80	278	3155
81	279	3127
82	280	3102
83	282	3082
84	284	3060
85	285	3035
86	287	3016
87	288	2994
88	290	2972
89	291	2951
90	293	2930
91	294	2911
92	298	2906
93	300	2895
94	302	2878
95	303	2861
96	305	2842
97	306	2824
98	307	2801
99	309	2782
100	310	2763
101	312	2752
102	315	2743
103	316	2726
104	318	2710
105	319	2692
106	320	2676
107	322	2662
108	323	2646
109	325	2630
110	327	2621
111	328	2607
112	330	2595
113	332	2581
114	333	2565
115	334	2548
116	335	2533
117	336	2518
118	338	2503
119	339	2489
120	341	2480
121	343	2471
122	344	2458
123	346	2444
124	347	2431
125	348	2419
126	350	2408
127	351	2396
128	352	2382
129	354	2370
130	360	2389
131	361	2379
132	363	2368
133	364	2356
134	366	2345
135	367	2335
136	369	2324
137	371	2321
138	373	2312
139	375	2303
140	376	2292
141	378	2283
142	378	2270
143	380	2263
144	381	2252
145	383	2242
146	386	2244
147	389	2243
148	391	2237
149	393	2229
150	395	2221
151	396	2211
152	398	2206
153	405	2228
154	408	2226
155	410	2222
156	412	2214
157	413	2205
158	416	2205
159	419	2203
160	421	2195
161	422	2185
162	424	2177
163	425	2168
